repo,url,stars,year,has_package_swift,description,language,topics,archived,open_issues,iOS,macOS,watchOS,tvOS,visionOS,platform_count
3lvis/Networking,https://github.com/3lvis/Networking.git,1370.0,2025.0,True,Swift HTTP Networking with stubbing and caching support,Swift,"swift, mocking, nsurlsession, networking, alamofire, moya, stubbing, carthage, cocoapods",False,3.0,16.0,13.0,9.0,16.0,,4
AAChartModel/AAChartKit-Swift,https://github.com/AAChartModel/AAChartKit-Swift.git,2491.0,2025.0,True,"📈📊📱💻🖥️An elegant modern declarative data visualization chart framework for iOS, iPadOS and macOS. Extremely powerful, supports line, spline, area, areaspline, column, bar, pie, scatter, angular gauges, arearange, areasplinerange, columnrange, bubble, box plot, error bars, funnel, waterfall and polar chart types. 极其精美而又强大的现代化声明式数据可视化图表框架,支持柱状图、条形图、折线图、曲线图、折线填充图、曲线填充图、气泡图、扇形图、环形图、散点图、雷达图、混合图等各种类型的多达几十种的信息图图表,完全满足工作所需.",Swift,"chart, column-chart, bar-chart, line-chart, spline-chart, area-chart, pie, bubble-chart, graphics, ios, swift, objective-c, draw, view, model, data-visualization, data-analysis, animation, plot, graph",False,165.0,10.0,,,,,1
adamrushy/OpenAISwift,https://github.com/adamrushy/OpenAISwift.git,1695.0,2025.0,True,This is a wrapper library around the ChatGPT and OpenAI HTTP API,Swift,"chatgpt, swift, swiftui",False,46.0,15.0,,,,,1
adjust/ios_sdk,https://github.com/adjust/ios_sdk.git,648.0,2025.0,True,This is the iOS SDK of,Objective-C,,False,43.0,,,,,,0
Aeastr/RenderMeThis,https://github.com/Aeastr/RenderMeThis.git,568.0,2025.0,True,RenderMeThis is a simple SwiftUI debugging tool that reveals exactly when your views re‑render or re-compute,Swift,,False,0.0,15.0,12.0,8.0,15.0,1.0,5
airbnb/epoxy-ios,https://github.com/airbnb/epoxy-ios.git,1289.0,2025.0,True,Epoxy is a suite of declarative UI APIs for building UIKit applications in Swift,Swift,"ios, swift, uikit, uicollectionview, uinavigationcontroller",False,10.0,13.0,,,,,1
airbnb/HorizonCalendar,https://github.com/airbnb/HorizonCalendar.git,3008.0,2025.0,True,"A declarative, performant, iOS calendar UI component that supports use cases ranging from simple date pickers all the way up to fully-featured calendar apps.",Swift,,False,62.0,12.0,,,,,1
airbnb/lottie-ios,https://github.com/airbnb/lottie-ios.git,26368.0,2025.0,True,An iOS library to natively render After Effects vector animations,Swift,"animation, bodymovin, ios-animation, ios, transition-animation, keyframes, ios-transition, custom-transitions, swift",False,37.0,,,,,,0
airbnb/MagazineLayout,https://github.com/airbnb/MagazineLayout.git,3333.0,2025.0,True,A collection view layout capable of laying out views in vertically scrolling grids and lists.,Swift,,False,11.0,10.0,,,10.0,,2
Alamofire/Alamofire,https://github.com/Alamofire/Alamofire.git,42031.0,2025.0,True,Elegant HTTP Networking in Swift,Swift,"networking, urlsession, urlrequest, httpurlresponse, request, response, swift, xcode, certificate-pinning, public-key-pinning, parameter-encoding, alamofire, cocoapods, carthage, swift-package-manager",False,49.0,12.0,,4.0,12.0,,3
